,summary,risk,category,variance,CDFscore
0,".38.12 CP2B           IOS080I 23FC,**,UL863601, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.UNLO.INVE.UU863601",30.0,8,-0.9554885349377729,0.9665414077178783
1,00.56.41 CP1F S0124251  DSNR035I  -DP41 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = SS540000 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP41APPL.D4EE7AA612B6 = 18112 -,158.0,0,-1.0541014667869566,0.9937852290793467
2,01.00.06 CP3D J0191866 *IEF099I JOB SMFMRGOS WAITING FOR DATA SETS,3.0,0,-0.7565897028482875,0.6435901141783494
3,01.05.03 CP1D J0110559 *IEF099I JOB SMFMRGDB WAITING FOR DATA SETS,3.0,0,-0.7689971731377166,0.6500939442115913
4,01.05.03 CP3B J0192995 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3.0,0,-0.7542084650962352,0.6413499060557885
5,01.05.04 CP1E J0110560 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS,3.0,0,-0.7518426949467761,0.64055499349617
6,01.11.15 CP2C J0028425 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,3.0,0,-0.7848671211829121,0.6668593727417257
7,01.24.44 CP1D S0124248 *DSNB319A  -DP21 DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP3,74.0,0,-1.0405038894125196,0.9865587512646337
8,01.44.30 CP1C J0111332 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS,3.0,0,-0.7806949838028467,0.6609336609336609
9,02.00.01 CP1C J0111538 *IEF099I JOB G01SUOCR WAITING FOR DATA SETS,3.0,0,-0.7557900404155983,0.6422893481717011
10,02.00.03 CP3A J0003273 *IEF099I JOB RMFMAGIC WAITING FOR DATA SETS,3.0,0,-0.7813302861196287,0.6616563087151323
11,02.15.03 CP3A J0005576 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,3.0,0,-0.7761242199732888,0.6564532446885388
12,02.36.20 CP1E J0123486 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS,3.0,0,-0.7794272732356261,0.6596328949270126
13,02.52.16 CP2D J0056851 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS,3.0,0,-0.7939790553895631,0.6750975574504986
14,05.01.46 CP3A J0020717  +DBA:BOCSZ BIG PARTITION TS FOUND!TSINXH PART 25 84.2% INUSE SYSJOB,29.0,5,-0.9491034031605043,0.9658910247145541
15,05.04.07 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 234 71.6% INUSE SYSJOB,3.0,5,-0.6939241344482905,0.6323890735655442
16,05.04.06 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 78.0% INUSE SYSJOB,3.0,5,-0.6995660825985885,0.6333285156814569
17,14  05.04.06 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 71.2% INUSE SYSJOB,3.0,5,-0.643699844711775,0.621260297730886
18,23  05.04.07 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 245 74.4% INUSE SYSJOB,3.0,5,-0.7286308072589498,0.6368694898106663
19,05.04.05 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 74.2% INUSE SYSJOB,2.0,5,-0.583574182708331,0.5865009394421159
20,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 21 DATASETS(MAX 32) SYSJOB,1.0,2,-0.37339782725165827,0.11092643445584623
21,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1.0,2,-0.3697078245663823,0.10232692585633762
22,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1.0,2,-0.37253474818093424,0.10868622633328516
23,05.04.10 CP1D J0128843  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1.0,2,-0.4000286569872098,0.16440237028472324
24,05.04.08 CP1E J0128724  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.9% INUSE SYSJOB,3.0,5,-0.6931542787711131,0.632316808787397
25,05.04.59 CP1E J0128724  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB,2.0,2,-0.5798428840221396,0.5818037288625524
26,05.04.59 CP1E J0128724  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 24 DATASETS(MAX 32) SYSJOB,2.0,2,-0.5288299231542464,0.4611938141349906
27,05.42.03 CP1D J0129728 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,3.0,0,-0.7789385165171124,0.6590547767018355
28,05.55.06 CP1C J0129974 *IEF099I JOB A01S804B WAITING FOR DATA SETS,3.0,0,-0.7857995006670379,0.6677265500794912
29,06.12.10 CP1D J0130208 *IEF099I JOB A01M9251 WAITING FOR DATA SETS,3.0,0,-0.8003998958144868,0.6868044515103339
30,06.12.10 CP1E J0130210 *IEF099I JOB A01M9259 WAITING FOR DATA SETS,3.0,0,-0.8019043636248422,0.6905622199739847
31,07.40.24 CP3D S0098408  BSOEXTSPSS1 SEV=WAR CP3D Data Set: OPERZ.TWZP.APALL.D180905 EXTENTS = 11 (Exts > 10),23.0,0,-0.8994083750631846,0.9557016909958086
32,07.46.13 CP1D S0041765  BSOEXTPDSS0 SEV=WAR CP1B Data Set: BOCBMC.MV.UBBPARM EXTENTS = 13 (Exts > 12),26.0,0,-0.9343249080785472,0.9622055210290504
33,08.06.31 CP2D S0189174  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 15 (Exts > 12),23.0,0,-0.9034634672581578,0.9567133978898685
34,12.26.14 CP1E S0124257  DSNR035I  -DP71 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200008 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP71APPL.D4EF166DF273 = 66943 -,141.0,0,-1.051926870559165,0.9929903165197282
35,21.04.10 CP1D J0148425  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB,1.0,2,-0.36888044965005007,0.10124295418413065
